CellId,CellIdNc,intensity
LD31N59F,LD31A95D,0.156206666666667
LD31N59F,LD31D58F,0.0954933333333333
LF31C08E,LF31C08F,0.173363333333333
LF31C08E,LF31F51D,0.0580233333333333
LD31F51B,LD31A90B,0.0459566666666667
LD31F51B,LD31L51A,0.193346666666667
LD31F51B,LD31L51B,0.14644
LF31H25A,LF31O26A,0.0553566666666667
LF31H25A,LF31A90A,0.04939
LF31H25A,LF31A59C,0.0479633333333333
LF31H25A,LF31J35B,0.05541
LF31H25A,LF31A58B,0.02569
LD31A93B,LD31A90C,0.0843166666666667
LD31A93B,LD31A90B,0.02699
LD31A93B,LD31L11A,0.0906833333333333
LD31H40B,LD31H40C,0.0546433333333333
LD31H40B,LD31H40A,0.10891
LD31H40B,LD31D58A,0.01844
LD31H40B,LD31G75A,0.06518
LD31H40B,LD31G75C,0.12064
LD31H40B,LD31N08A,0.2778
LD31H40B,LD31F47B,0.102116666666667
LD31H40B,LD31P97A,0.2065
LD31H40B,LD31P97B,0.05519
LD31H40B,LD31G79B,0.12013
LD31H40B,LD31G79A,0.130703333333333
LD31H40B,LD31Q09C,0.0863166666666667
LD31H40A,LD31H40B,0.0360333333333333
LD31H40A,LD31P97A,0.16223
LD31H40A,LD31P97B,0.0897633333333333
LD31N88D,LD31N88F,0.107233333333333
LD31N88D,LD31K26B,0.0246
LF31K41E,LF31C08D,0.02796
LF31K41E,LF31C08E,0.06103
LF31K41E,LF31K57D,0.12906
LF31K41E,LF31K57E,0.230346666666667
LF31K41E,LF31K57F,0.0725966666666667
LD31K58A,LD31K58C,0.294616666666667
LD31K58A,LD31C11E,0.346956666666667
LD31K58A,LD31C11F,0.0965833333333333
LD31K58A,LD31H40D,0.0471133333333333
LD31K58A,LD31H40F,0.0282333333333333
LD31K58A,LD31P97E,0.14774
LD31K58A,LD31J29D,0.0229766666666667
LD31K58C,LD31K58A,0.41503
LD31K58C,LD31C11E,0.27199
LD31K58C,LD31C11F,0.0507
LD31K58C,LD31Q62F,0.117273333333333
LD31K58C,LD31Q62E,0.0547533333333333
LD31K58C,LD31F53D,0.0763133333333333
LD31K58C,LD31N85D,0.01738
LD31K58C,LD31J29D,0.108353333333333
LD31A90C,LD31A90B,0.327416666666667
LD31A90C,LD31I67A,0.02534
LD31A90C,LD31I67B,0.0545
LD31A90C,LD31L11A,0.187546666666667
LD31A90C,LD31L51B,0.129296666666667
LD31A90C,LD31F69B,0.2837
LD31J35C,LD31J35A,0.0396666666666667
LD31J35C,LD31J35B,0.08742
LD31J35C,LD31J11B,0.0812066666666667
LD31J35C,LD31A89B,0.128936666666667
LD31J35C,LD31A89A,0.146746666666667
LD31J35C,LD31A58A,0.0194133333333333
LD31A90B,LD31A90C,0.405243333333333
LD31A90B,LD31E01C,0.0303266666666667
LD31A90B,LD31E01B,0.02479
LD31A90B,LD31L51A,0.299576666666667
LD31A90B,LD31L51B,0.447363333333333
LD31A90B,LD31F69B,0.413356666666667
LD31J35B,LD31N06C,0.0670066666666667
LD31J35B,LD31J35A,0.02768
LD31J35B,LD31J35C,0.0779033333333333
LD31J35B,LD31G67B,0.03907
LD31J35B,LD31A58A,0.0446833333333333
LD31A90A,LD31A59C,0.188553333333333
LF31E98C,LF31F47C,0.0398966666666667
LF31E98C,LF31O26B,0.0279433333333333
LF31E98C,LF31E01A,0.0584533333333333
LF31E98C,LF31E01B,0.0491133333333333
LF31E98C,LF31A59B,0.0499366666666667
LD31G83C,LD31N06B,0.209476666666667
LD31G83C,LD31J65C,0.26884
LD31G83C,LD31J65A,0.29429
LD31G83C,LD31B50B,0.0235233333333333
LD31G83C,LD31E98A,0.23
LF31I67C,LF31I67B,0.0883633333333333
LF31I67C,LF31A90A,0.0421033333333333
LF31I67C,LF31A58C,0.0785266666666667
LF31I67B,LF31I67A,0.0569333333333333
