CellId, SiteId, PCI, EARFCN, PlanFlag
LD31G47C,LD31G47-F37900,347,37900,0
LF31G47A,LF31G47-F38400,96,38400,0
LF31G47B,LF31G47-F38400,97,38400,0
LF31G47C,LF31G47-F38400,98,38400,0
LD31G48A,LD31G48-F37900,452,37900,0
LD31G48B,LD31G48-F37900,450,37900,0
LD31G48C,LD31G48-F37900,451,37900,0
LF31G48A,LF31G48-F38400,99,38400,0
LF31G48B,LF31G48-F38400,100,38400,0
LF31G48C,LF31G48-F38400,101,38400,0
LD31G49A,LD31G49-F37900,483,37900,0
LD31G49B,LD31G49-F37900,484,37900,0
LD31G49C,LD31G49-F37900,485,37900,0
LF31G49A,LF31G49-F38400,8,38400,0
LF31G49B,LF31G49-F38400,6,38400,0
LF31G49C,LF31G49-F38400,7,38400,0
LD31G50A,LD31G50-F37900,207,37900,0
LD31G50B,LD31G50-F37900,208,37900,0
LD31G50C,LD31G50-F37900,209,37900,0
LF31G50A,LF31G50-F38400,17,38400,0
LF31G50B,LF31G50-F38400,16,38400,0
LF31G50C,LF31G50-F38400,15,38400,0
LF31G51A,LF31G51-F38400,32,38400,0
LF31G51B,LF31G51-F38400,31,38400,0
LF31G51C,LF31G51-F38400,30,38400,0
LF31G52A,LF31G52-F38400,367,38400,0
LF31G52B,LF31G52-F38400,368,38400,0
LF31G52C,LF31G52-F38400,366,38400,0
LD31G53A,LD31G53-F37900,18,37900,0
LD31G53B,LD31G53-F37900,19,37900,0
LD31G53C,LD31G53-F37900,20,37900,0
LF31G53A,LF31G53-F38400,115,38400,0
LF31G53B,LF31G53-F38400,114,38400,0
LF31G53C,LF31G53-F38400,116,38400,0
LF31G54A,LF31G54-F38400,148,38400,0
LF31G54B,LF31G54-F38400,147,38400,0
LF31G54C,LF31G54-F38400,149,38400,0
LD31G55A,LD31G55-F37900,486,37900,0
LD31G55B,LD31G55-F37900,487,37900,0
LD31G55C,LD31G55-F37900,488,37900,0
LD31G55E,LD31G55-F38098,94,38098,0
LF31G55A,LF31G55-F38400,132,38400,0
LF31G55B,LF31G55-F38400,133,38400,0
LF31G55C,LF31G55-F38400,134,38400,0
LF31G56A,LF31G56-F38400,201,38400,0
LF31G56B,LF31G56-F38400,202,38400,0
LF31G56C,LF31G56-F38400,203,38400,0
LF31G57A,LF31G57-F38400,410,38400,0
LF31G57B,LF31G57-F38400,409,38400,0
LF31G57C,LF31G57-F38400,408,38400,0
LD31G58A,LD31G58-F37900,60,37900,0
LD31G58B,LD31G58-F37900,61,37900,0
LD31G58C,LD31G58-F37900,62,37900,0
LF31G58A,LF31G58-F38400,246,38400,0
LF31G58B,LF31G58-F38400,247,38400,0
LF31G58C,LF31G58-F38400,248,38400,0
LD31G59A,LD31G59-F38098,84,38098,0
LD31G59B,LD31G59-F37900,85,37900,0
LD31G59C,LD31G59-F37900,86,37900,0
LF31G60A,LF31G60-F38400,402,38400,0
LF31G60B,LF31G60-F38400,403,38400,0
LF31G61A,LF31G61-F38400,477,38400,0
LF31G61B,LF31G61-F38400,478,38400,0
LF31G61C,LF31G61-F38400,479,38400,0
LD31G62A,LD31G62-F37900,123,37900,0
LD31G62B,LD31G62-F37900,124,37900,0
LD31G62C,LD31G62-F37900,125,37900,0
LF31G62A,LF31G62-F38400,387,38400,0
LF31G62B,LF31G62-F38400,388,38400,0
LF31G62C,LF31G62-F38400,389,38400,0
LF31G63A,LF31G63-F38400,296,38400,0
LF31G63B,LF31G63-F38400,295,38400,0
LF31G63C,LF31G63-F38400,294,38400,0
LD31G64A,LD31G64-F37900,69,37900,0
LD31G64B,LD31G64-F37900,70,37900,0
LD31G64C,LD31G64-F37900,71,37900,0
LF31G64A,LF31G64-F38400,326,38400,0
LF31G64B,LF31G64-F38400,325,38400,0
LF31G64C,LF31G64-F38400,324,38400,0
LF31G65A,LF31G65-F38400,237,38400,0
LF31G65B,LF31G65-F38400,239,38400,0
LF31G65C,LF31G65-F38400,238,38400,0
LF31G66A,LF31G66-F38400,190,38400,0
LF31G66B,LF31G66-F38400,189,38400,0
LF31G66C,LF31G66-F38400,191,38400,0
LD31G67A,LDF31G67-F37900,387,37900,1
LD31G67B,LDF31G67-F37900,388,37900,1
LD31G67C,LDF31G67-F37900,389,37900,1
LF31G67A,LDF31G67-F38400,432,38400,1
LF31G67B,LDF31G67-F38400,434,38400,1
LF31G67C,LDF31G67-F38400,433,38400,1
LD31G68A,LD31G68-F37900,13,37900,0
LD31G68B,LD31G68-F37900,14,37900,0
LD31G68C,LD31G68-F37900,12,37900,0
LD31G68D,LD31G68-F38098,235,38098,0
